game_id,away_starter,home_starter,away_sp_era_actual,away_sp_fip_actual,away_sp_war_actual,away_sp_whip_actual,away_sp_gs,home_sp_era_actual,home_sp_fip_actual,home_sp_war_actual,home_sp_whip_actual,home_sp_gs
20170811HTKT0,팻딘,주권,4.14,4.61,4.36,1.42,29.0,6.61,6.36,-0.13,1.62,12.0
20170811OBWO0,장원준,브리검,3.14,4.38,5.65,1.24,29.0,4.38,4.75,3.23,1.33,24.0
20170812NCOB0,해커,함덕주,3.42,4.56,5.52,1.17,26.0,3.67,3.88,3.46,1.4,24.0
20170812KTSK0,로치,박종훈,4.69,5.38,2.35,1.58,28.0,4.1,5.44,3.72,1.36,28.0
20170812LTSS0,송승준,윤성환,4.21,4.84,3.45,1.33,22.0,4.28,4.77,4.8,1.25,28.0
20170812LGHT0,김대현,정용운,5.36,5.74,1.13,1.35,16.0,5.92,6.56,0.27,1.57,11.0
20170812HHWO0,윤규진,밴헤켄,5.22,5.4,1.93,1.53,18.0,3.77,3.8,3.6,1.32,24.0
20170813NCOB0,장현식,니퍼트,5.29,5.21,1.61,1.53,22.0,4.06,4.79,4.07,1.4,30.0
20170813KTSK0,고영표,문승원,5.08,3.75,2.58,1.31,24.0,5.33,6.03,1.95,1.51,29.0
20170813LTSS0,박세웅,황수범,3.68,5.13,5.72,1.32,28.0,8.04,6.87,-0.31,2.04,7.0
20170813HHWO0,김재영,최원태,4.54,5.09,1.01,1.41,15.0,4.46,4.57,3.65,1.31,25.0
20170815OBLT0,유희관,김원중,4.53,4.9,3.31,1.43,29.0,5.7,5.53,1.72,1.73,24.0
20170815NCHT0,구창모,양현종,5.32,4.99,1.06,1.63,25.0,3.44,3.93,5.45,1.31,31.0
20170816SKHH0,백인식,오간도,,,,,,3.93,4.55,2.65,1.32,19.0
20170816KTLG0,피어밴드,차우찬,3.04,4.37,4.92,1.15,26.0,3.43,4.12,5.1,1.19,28.0
20170816OBLT0,보우덴,린드블럼,4.64,6.35,1.61,1.47,17.0,3.72,4.08,2.45,1.16,12.0
20170816WOSS0,김성민,김대우,4.74,5.17,1.39,1.59,15.0,9.54,6.58,-1.17,1.94,7.0
20170816NCHT0,이재학,헥터,5.67,5.36,0.7,1.54,23.0,3.48,4.35,6.45,1.32,30.0
20170817HHNC0,비야누에바,맨쉽,4.18,4.74,2.62,1.17,20.0,3.67,4.14,3.37,1.29,21.0
20170817HTOB0,팻딘,장원준,4.14,4.61,4.36,1.42,29.0,3.14,4.38,5.65,1.24,29.0
20170817LGSK0,소사,다이아몬드,3.88,3.53,4.8,1.22,29.0,4.42,5.1,3.25,1.47,24.0
20170817SSKT0,우규민,정성곤,5.21,4.94,1.0,1.38,25.0,8.11,6.1,-0.58,1.78,20.0
20170817LTWO0,레일리,브리검,3.8,4.34,5.55,1.3,30.0,4.38,4.75,3.23,1.33,24.0
20170818HHNC0,안영명,해커,5.75,5.16,0.46,1.72,16.0,3.42,4.56,5.52,1.17,26.0
20170818HTOB0,임기준,함덕주,3.27,5.5,0.68,1.82,4.0,3.67,3.88,3.46,1.4,24.0
20170818LGSK0,김대현,켈리,5.36,5.74,1.13,1.35,16.0,3.6,3.6,5.35,1.31,30.0
20170818SSKT0,윤성환,로치,4.28,4.77,4.8,1.25,28.0,4.69,5.38,2.35,1.58,28.0
20170818LTWO0,송승준,밴헤켄,4.21,4.84,3.45,1.33,22.0,3.77,3.8,3.6,1.32,24.0
20170819LTHH0,박세웅,윤규진,3.68,5.13,5.72,1.32,28.0,5.22,5.4,1.93,1.53,18.0
20170819SSLG0,황수범,류제국,8.04,6.87,-0.31,2.04,7.0,5.35,4.82,1.27,1.48,25.0
20170819OBKT0,니퍼트,주권,4.06,4.79,4.07,1.4,30.0,6.61,6.36,-0.13,1.62,12.0
20170819SKHT0,문승원,배힘찬,5.33,6.03,1.95,1.51,29.0,29.7,11.92,-0.48,3.6,1.0
20170819NCWO0,장현식,최원태,5.29,5.21,1.61,1.53,22.0,4.46,4.57,3.65,1.31,25.0
20170820LTHH0,김원중,배영수,5.7,5.53,1.72,1.73,24.0,5.06,5.12,1.96,1.44,25.0
20170820OBKT0,유희관,고영표,4.53,4.9,3.31,1.43,29.0,5.08,3.75,2.58,1.31,24.0
20170820NCWO0,강윤구,정대현,4.45,6.4,0.44,1.48,5.0,5.54,6.08,0.1,1.46,2.0
20170822NCLG0,이재학,허프,5.67,5.36,0.7,1.54,23.0,2.38,3.31,4.99,0.91,17.0
