game_id,away_starter,home_starter,season,home_team,away_team,away_sp_era_actual,away_sp_fip_actual,away_sp_war_actual,away_sp_whip_actual,away_sp_gs
20010529LGHT0,발데스,ID_97621,2001,KIA,LG,4.65,5.31,2.31,1.54,29.0
20010529LTHH0,손민한,ID_88770,2001,한화,롯데,4.21,4.49,3.58,1.46,29.0
20010529SSOB0,배영수,ID_95247,2001,두산,삼성,3.77,4.63,4.2,1.52,25.0
20010530HDSK0,임선동,ID_91833,2001,SSG,Heroes,4.4,3.97,3.05,1.53,24.0
20010530LTHH0,박지철,ID_90853,2001,한화,롯데,4.03,4.14,4.02,1.44,26.0
20010530SSOB0,갈베스,ID_89621,2001,두산,삼성,2.47,3.55,4.28,1.15,15.0
20010531LGHT1,안병원,ID_71649,2001,KIA,LG,7.39,5.74,-0.72,1.85,16.0
20010531HDSK0,테일러,ID_70820,2001,SSG,Heroes,4.75,5.24,2.14,1.71,27.0
20010531LTHH0,김영수,ID_86722,2001,한화,롯데,6.27,5.76,-0.08,1.76,14.0
20010531SSOB0,김진웅,ID_89670,2001,두산,삼성,3.96,3.78,3.79,1.37,14.0
20010601HTSK0,이원식,ID_71829,2001,SSG,KIA,4.59,5.58,0.92,1.35,9.0
20010601HTSK0,이원식,ID_71829,2001,SSG,KIA,7.06,6.41,-0.12,1.94,5.0
20010601HDOB0,김수경,ID_70840,2001,두산,Heroes,5.2,5.49,1.06,1.56,18.0
20010601SSLT0,임창용,ID_70531,2001,롯데,삼성,3.9,4.52,4.68,1.25,29.0
20010602HTSK0,유동훈,ID_91833,2001,SSG,KIA,7.5,4.94,-0.53,1.71,9.0
20010602HTSK0,유동훈,ID_91833,2001,SSG,KIA,0.0,3.54,-0.02,4.5,0.0
20010602SSLT0,노장진,ID_95459,2001,롯데,삼성,4.62,5.69,1.62,1.74,15.0
20010602LGHH0,김민기,ID_99737,2001,한화,LG,5.18,4.53,0.91,1.6,8.0
20010603HTSK0,오철민,ID_91848,2001,SSG,KIA,4.78,5.02,0.85,1.44,11.0
20010603HDOB0,전준호,ID_95247,2001,두산,Heroes,5.09,4.6,1.79,1.51,25.0
20010603SSLT0,배영수,ID_97571,2001,롯데,삼성,3.77,4.63,4.2,1.52,25.0
20010603LGHH0,발데스,ID_88770,2001,한화,LG,4.65,5.31,2.31,1.54,29.0
20010605HHHT0,이상목,ID_71649,2001,KIA,한화,4.9,4.11,0.69,1.52,12.0
20010605OBSS0,이광우,ID_71443,2001,삼성,두산,5.4,6.13,0.61,1.63,8.0
20010605SKLG0,이승호,ID_70143,2001,LG,SSG,3.55,4.78,5.37,1.43,33.0
20010605LTHD0,김영수,ID_97133,2001,Heroes,롯데,6.27,5.76,-0.08,1.76,14.0
20010606HHHT0,송진우,ID_94330,2001,KIA,한화,3.84,4.44,3.6,1.44,24.0
20010606OBSS0,콜,ID_98451,2001,삼성,두산,5.04,3.98,0.82,1.43,20.0
20010606SKLG0,에르난데스,ID_92302,2001,LG,SSG,3.89,4.08,5.4,1.42,34.0
20010606LTHD0,박지철,ID_71339,2001,Heroes,롯데,4.03,4.14,4.02,1.44,26.0
20010607HHHT0,조규수,ID_95601,2001,KIA,한화,4.24,5.03,2.8,1.63,21.0
20010607OBSS0,조계현,ID_95657,2001,삼성,두산,5.28,4.72,0.84,1.52,18.0
20010607SKLG0,김기덕,ID_71118,2001,LG,SSG,5.19,6.02,0.42,1.37,14.0
20010607LTHD0,박석진,ID_98330,2001,Heroes,롯데,2.98,3.72,4.57,1.21,11.0
